stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	location_type	parent_station
2836	2836	Dimock Street (near 141)	DimockSt (141)	-41.09915275	174.8425332	5	0	
1286	1286	Guildford Drive - Kapiti Village	GuildfordDr-KapitiVlg	-40.90139251	175.001918	9	0	
9373	9373	George Street at Stokes Valley Road	GeorgeSt at StokesVlyRd	-41.1824945	174.9822016	6	0	
3825	3825	Burma Road near Haumia Street (Raroa Intermediate)	RaroaInterSch	-41.2297734	174.799941	3	0	
5453	5453	Colway Street at Bombay Street	ColwaySt at Bombay (63)	-41.24993521	174.779678	3	0	
2356	2356	Champion Street (near 2)	ChampionSt (2)	-41.1376516	174.8477956	5	0	
5911	5911	The Terrace at Bolton Street (near 25)	Terrace at Bolton (25)	-41.27981413	174.7754748	1	0	
9153	9153	Randwick Road at Tirangi Road	RandwickRd at Tirangi	-41.23136705	174.9043345	4	0	
3036	3036	McLintock Street (near 3)	McLintockSt (3)	-41.22702988	174.7930154	3	0	
2166	2166	Mungavin Avenue at Bedford Street (near 200)	MungavinAve at Bedford (200)	-41.14097393	174.8633503	5	0	
1269	1269	Murray Court (near 15)	MurrayCrt (15)	-40.89313704	174.994903	9	0	
6139	6139	Severn Street (near 121) (school stop)	SevernSt (121) (sch)	-41.34376785	174.7635861	3	0	
7218	7218	Moxham Avenue at Raupo Street (near 88)	MoxhamAve at Raupo (88)	-41.30747512	174.7929403	2	0	
8969	8969	Wellington Road at Kew Grove	WgtnRd at Kew	-41.23542424	174.947169	5	0	
7700	7700	Brooklyn - Stop A	Brooklyn-A	-41.30503322	174.765401	2	0	
3550	3550	Newlands Bus Depot - Newlands Road	NewlandsBusDepot-NewlandsRd	-41.23150288	174.812228	3	0	
3708	3708	Woodridge Drive (near 91)	WoodridgeDr (91)	-41.21522	174.8337	3	0	
2870	2870	Takapuwahia Drive at Te Hiko Street (near 55)	TakapuwahiaDr at TeHiko (55)	-41.12463684	174.8319623	5	0	
1288	1288	Te Roto Drive at Manchester Street (near 460)	TeRotoDr at Manchester (460)	-40.90420195	175.0009343	9	0	
7937	7937	Houghton Bay Road near Cave Road	HgtnBayRd nr Cave	-41.34063963	174.7853727	3	0	
7027	7027	Rongotai Road at Ross Street	RongotaiRd at Ross	-41.31859567	174.7982038	3	0	
JOHN	JOHN	Johnsonville Station	JohnsonvilleStn	-41.22334496	174.8047433	3	0	
2936	2936	Hiwi Crescent (near 22)	HiwiCr (22)	-41.11359153	174.829782	5	0	
3470	3470	Bracken Road at Oswald Crescent	BrackenRd at Oswald	-41.22213869	174.8234219	3	0	
2756	2756	Discovery Drive (opposite 111)	DiscoveryDr (opp 111)	-41.11615432	174.8994513	6	0	
8852	8852	Muritai Road at Ngaio Street (near 272)	MuritaiRd at Ngaio (272)	-41.29689133	174.8963268	6	0	
9114	9114	Lower Hutt - Centre City Plaza	LowerHutt-CtrCityPlaza	-41.21031207	174.903008	4	0	
1726	1726	Otaki College - Mill Road	OtakiColl-MillRd	-40.75788989	175.1525505	13	0	
9216	9216	Major Drive at Ilam Grove (near 187)	MajorDr at Ilam (187)	-41.17634508	174.9359999	5	0	
6126	6126	Adelaide Road at Dawson Street	AdelaideRd at Dawson	-41.32305271	174.7752144	2	0	
7036	7036	Strathmore Park Shops - Broadway	StrathmorePkShops-Broadway	-41.32459439	174.8206604	3	0	
3056	3056	Truscott Avenue at Fairburn Grove	TruscottAve at Fairburn	-41.22554285	174.7959574	3	0	
4914	4914	The Terrace (near 230)	Terrace (230)	-41.28796876	174.7723522	1	0	
1967	1967	Harley Street (near 86)	HarleySt (86)	-40.96412372	175.6356086	14	0	
1592	1592	Parata Street opposite Sylvan Avenue	ParataSt opp SylvanAve	-40.87199	175.06769	10	0	
6722	6722	Washington Avenue (near 115)	WashingtonAve (115)	-41.30823748	174.7663311	2	0	
3907	3907	Jamaica Drive at Calypso Street (hail and ride) (school stop)	JamaicaDr at Calypso (h/r) (sch)	-41.189024	174.834912	4	0	
7269	7269	Nevay Road (opposite 16)	NevayRd (16)	-41.31069648	174.8280383	3	0	
1420	1420	The Parade at Sand Track	The Parade at Sand Track	-40.98441091	174.9521866	8	0	
9973	9973	Parkway at Brian Morgan Terrace	Parkway at Brian MorganTer	-41.2544	174.94132	5	0	
6729	6729	The Ridgeway at Kingston Heights Road	Ridgeway at KingstonHeights	-41.32079443	174.7639222	2	0	
6952	6952	Buckley Road (near 146)	BuckleyRd (146)	-41.33926205	174.7812717	3	0	
2590	2590	Tweed Road at Spey Place	TweedRd at Spey	-41.11307432	174.8662494	5	0	
7024	7024	Crawford Road at Kilbirnie Tennis Club	CrawfordRd at TennisClub	-41.31605406	174.7909138	2	0	
6419	6419	Adelaide Road opposite McAlister Park	AdelaideRd opp McAlisterPk	-41.31710309	174.7755308	2	0	
8539	8539	Queen Street at Logan Plaza	QueenSt at LoganPlaza	-41.12296693	175.073676	7	0	
4430	4430	Homebush Road (near 33)	HomebushRd (33)	-41.24897686	174.8065049	3	0	
4433	4433	Onslow Alms - Onslow Road	OnslowAlms-OnslowRd	-41.25311065	174.8013673	3	0	
2301	2301	Champion Street (opposite 38)	ChampionSt (opp 38)	-41.13505142	174.8507922	5	0	
3472	3472	Newlands Medical Centre - Stewart Drive	NewlandsMedCtr-StewartDr	-41.22233952	174.8221152	3	0	
1524	1524	Te Moana Road at Richmond Avenue	TeMoanaRd at Richmond	-40.87836628	175.0462018	10	0	
1258	1258	Martin Road at Michael Road (near 39)	MartinRd at Michael (39)	-40.88684934	174.9938833	9	0	
9877	9877	Tirohanga Road at Matuhi Street (hail and ride) (school stop)	TirohangaRd at Matuhi (h/r) (sch)	-41.19694564	174.9050416	4	0	
8780	8780	Gracefield Road (opposite 114)	GracefieldRd (114)	-41.23826945	174.9171834	4	0	
WALL1	WALL1	Wallaceville Station	WallacevilleStn	-41.13063693	175.0588165	7	0	WALL	
TREN1	TREN1	Trentham Station	TrenthamStn	-41.13791945	175.0384812	6/7	0	TREN	
1540	1540	Queens Road at Campion Road	QueensRd at Campion	-40.8704175	175.018806	10	0	
2556	2556	Spinnaker Drive at Leeward Drive (near 26)	SpinnakerDr at Leeward (26)	-41.1061511	174.8888024	6	0	
1326	1326	Tahi Street at Marine Parade (near 1)	TahiSt at Marine (1)	-40.90216839	174.9778416	9	0	
9968	9968	Wellington Road at Arakura Park (near 273)	WgtnRd at ArakuraPk (273)	-41.23733295	174.9461518	5	0	
5930	5930	Pembroke Road (near 203)	PembrokeRd (203)	-41.27064127	174.76281	2	0	
4447	4447	Kenya Street (near 37)	KenyaSt (37)	-41.25438204	174.7716825	3	0	
1422	1422	Matai Road (near 187)	MataiRd (187)	-40.9242621	174.9869486	9	0	
9587	9587	Fergusson Drive at Cruickshank Road (near 1125)	FergussonDr at Cruickshank (1125)	-41.11554102	175.090831	7	0	
1774	1774	State Highway 1 - Otaki (near 226)	SH1-Otaki (226)	-40.76141338	175.1568105	13	0	
8159	8159	Hutt Valley High School (opposite)	HVHS (opp)	-41.21572565	174.9024492	4	0	
9956	9956	Manutuke Street	ManutukeSt	-41.24617458	174.9345995	5	0	
8624	8624	Plateau Road (near 122)	PlateauRd (122)	-41.09612085	175.1379602	8	0	
7933	7933	View Road (near 24)	ViewRd (24)	-41.33481627	174.7891573	3	0	
8967	8967	Wellington Road at Whitehall Street	WgtnRd at Whitehall	-41.2402259	174.9455217	5	0	
2732	2732	James Cook Drive at Observatory Close	JamesCookDr at Observatory	-41.11061331	174.9022689	6	0	
6143	6143	Frobisher Street at Murchison Street	FrobisherSt at Murchison	-41.33735527	174.7647276	3	0	
4930	4930	Mairangi Road at Monmouth Way	MairangiRd at Monmouth	-41.270825	174.7625761	2	0	
6933	6933	View Road (near 33)	ViewRd (33)	-41.33487719	174.7893238	3	0	
3809	3809	Burma Road near Haumia Street	BurmaRd nr Haumia	-41.229609	174.799963	3	0	
9240	9240	Reynolds Street (near 125)	ReynoldsSt (125)	-41.17288708	174.9593818	5	0	
1732	1732	Otaki Town - Aotaki Street at Mill Road	OtakiTown-AotakiSt at Mill	-40.75324893	175.1405557	13	0	
7223	7223	Kilbirnie Crescent at Childers Terrace	KilbirnieCres at Childers	-41.31603037	174.7937765	2	0	
7094	7094	Taiaroa Street at Tukanae Street (near 24)	TairoaSt at Tukanae (24)	-41.33410437	174.8173402	3	0	
9072	9072	Normandale Road near Jubilee Park	NormandaleRd nr JubileePk	-41.20688383	174.8924129	4	0	
4386	4386	Duthie Street at Hurman Street	DuthieSt at Hurman	-41.2891624	174.7473063	3	0	
6921	6921	Mansfield Street at Horner Street	MansfieldSt at Horner	-41.31746837	174.7810364	2	0	
1252	1252	Golf Road at Nathan Avenue	GolfRd at Nathan	-40.88756433	174.986611	9	0	
3816	3816	Rajkot Terrace at Orissa Crescent	RajkotTce at Orissa	-41.23724546	174.7963971	3	0	
9529	9529	Miro Street (near 90)	MiroSt (90)	-41.13360179	175.0481588	7	0	
7213	7213	Brougham Street at Elizabeth Street	BroughamSt at Elizabeth	-41.29674489	174.7852703	1	0	
8735	8735	Seaview Road opposite Gracefield Road	SeaviewRd opp Gracefield	-41.24586672	174.9098872	4	0	
1384	1384	Rimu Road at Rimu Village	RimuRd at RimuVlg	-40.92147359	174.9970614	9	0	
4403	4403	Kaiwharawhara Road (near 68)	KaiwharawharaRd (68)	-41.25754386	174.7827493	2	0	
6334	6334	Rua Street at Queens Drive	RuaSt at Queens	-41.33008808	174.7920152	3	0	
3204	3204	Middleton Road (near 71)	MiddletonRd (71)	-41.21604521	174.8100119	3	0	
1960	1960	Michael Street (near 17)	MichaelSt (17)	-40.95566821	175.6469151	14	0	
8575	8575	Fergusson Drive at Richmond Street	FergussonDr at Richmond	-41.12544402	175.0611273	7	0	
9906	9906	Main Road at Fitzherbert Road	MainRd at Fitzherbert	-41.26324439	174.9478761	5	0	
6922	6922	Mansfield Street at Roy Street (near 311)	MansfieldSt at Roy (311)	-41.31882327	174.7815034	2	0	
1710	1710	State Highway 1 - Otaki (near 239)	SH1-Otaki (239)	-40.76132779	175.1565708	13	0	
1802	1802	State Highway 53 at Bidwills Cutting (hail and ride)	SH53 at BidwillsCutting (h/r)	-41.18007196	175.4341511	12	0	
7564	7564	Moeller Street at Hawker Street	MoellerSt at Hawker	-41.29218588	174.7908578	1	0	
7016	7016	Adelaide Road opposite Hospital Road	AdelaideRd opp Hospital	-41.30634478	174.7781057	2	0	
2014	2014	Porirua - Semple Street	Porirua-SempleSt	-41.12971804	174.8374328	5	0	
9567	9567	Trentham Memorial Park (near 441)	TrenthamMemorialPk (441)	-41.13704369	175.0318245	6/7	0	
8586	8586	Fergusson Drive (opposite 1093)	FergussonDr (opp 1093)	-41.1170375	175.0877818	7	0	
8697	8697	Gillespies Road (near 44) (school stop)	GillespiesRd (44) (sch)	-41.08992127	175.1028761	7	0	
1156	1156	Manly Street opposite Bahama Crescent	ManlySt opp Bahama	-40.8828431	174.9859299	9	0	
8985	8985	Wainuiomata Shopping Centre - Fitzherbert Road	WainuiomataShoppingCtr - FitzherbertRd	-41.26154601	174.9471094	5	0	
7946	7946	Mt Albert Road opposite National Hockey Stadium	Mt Albert opp NatHockeyStadium	-41.32644504	174.7803546	3	0	
2032	2032	Aotea College - Stop B (school stop)	AoteaCollege-B (sch)	-41.12580686	174.8537935	5	0	
6549	6549	Evans Bay Parade (opposite 412)	EvansBayPde (opp 412)	-41.30647019	174.7990131	2	0	
POMA	POMA	Pomare Station	PomareStn	-41.16945495	174.9697209	5	0	
2602	2602	Paremata Road (near 79)	ParemataRd (79)	-41.10316739	174.878476	6	0	
8096	8096	Korokoro - Singers Road	Korokoro-SingersRd	-41.22049129	174.8644133	4	0	
7545	7545	Kio Bay (opposite)	KioBay (opp)	-41.29756097	174.8042622	2	0	
2914	2914	Tireti Road (near 45)	TiretiRd (45)	-41.10901489	174.8342214	5	0	
2340	2340	Bedford Street (near 187)	BedfordSt (187)	-41.1436093	174.8674762	5	0	
9253	9253	High Street at Biddle Crescent	HighSt at Biddle	-41.17572126	174.9622082	5	0	
7918	7918	John Street at Adelaide Road (near 11)	JohnSt at Adelaide (11)	-41.30723661	174.7773118	2	0	
2526	2526	Postgate Drive at Browns Bay Park	PostgateDr at BrownsBayPk	-41.10708412	174.8813266	6	0	
1722	1722	Rahui Road at Te Roto Road	RahuiRd at TeRoto	-40.76284624	175.1620694	13	0	
2934	2934	Pikarere Street at Rakihau Place (near 76)	PikarereSt at Rakihau (76)	-41.1129848	174.8281388	5	0	
3900	3900	Middleton Road at Glenside Road	MiddletonRd at Glenside	-41.20611147	174.8116463	3	0	
6946	6946	National Hockey Stadium	NatHockeyStadium	-41.32652479	174.7804805	3	0	
7064	7064	Worser Bay - Marine Parade (opposite 185)	WorserBay-MarinePde (185)	-41.31463618	174.827639	3	0	
7251	7251	Maupuia Road at Miramar Avenue	MaupuiaRd at Miramar	-41.31449637	174.8129432	3	0	
3274	3274	Halswater Drive opposite Lakewood Reserve	HalswaterDr opp LakewoodRes	-41.20732947	174.8050803	3	0	
8839	8839	Marine Drive near Lowry Bay	MarineDr nr LowryBay	-41.25753474	174.9123756	5	0	
9605	9605	Emerald Hill - Gemstone Drive	EmeraldHl-GemstoneDr	-41.09473525	175.1105307	7	0	
8072	8072	Jubilee Park (opposite)	JubileePk (opp)	-41.20697582	174.8922963	4	0	
4459	4459	Khandallah - Box Hill at Station Road East	KHAN-BoxHill at StationRdE	-41.24228705	174.7924128	3	0	
8348	8348	Park Road at Natusch Road (near 12)	ParkRd at Natusch (12)	-41.19308772	174.9205147	5	0	
2628	2628	Mana View Road (near 46) (hail and ride) (school stop)	ManaViewRd (46) (h/r) (sch)	-41.09440436	174.8727774	6	0	
1414	1414	Te Miti Street (near 20)	TeMitiSt (20)	-40.97843287	174.9622737	8	0	
5490	5490	Thorndon Quay opposite Tinakori Road	ThorndonQy opp Tinakori	-41.26816	174.78122	1	0	
2335	2335	Bedford Street (near 92)	BedfordSt (92)	-41.14679132	174.86566	5	0	
5914	5914	Salamanca Road at The Terrace	SalamancaRd at Terrace	-41.28879378	174.7714192	1	0	
5113	5113	Molesworth Street (near 95)	MolesworthSt (95)	-41.27428332	174.7778321	1	0	
6047	6047	Breaker Bay Road (opposite 124)	BreakerBayRd (opp 124)	-41.33433213	174.8257117	3	0	
9284	9284	Rata Street School (near 76)	RataStSch (76)	-41.19984156	174.9580392	5	0	
3050	3050	Johnsonville West - McLintock Street (near 74)	J'villeW-McLintockSt (74)	-41.22308135	174.7920724	3	0	
7098	7098	Kekerenga Street at Ahuriri Street	KekerengaSt at Ahuriri	-41.33619019	174.8164421	3	0	
6119	6119	Rintoul Street at Newtown Shops	RintoulSt at Shops	-41.31236599	174.7789861	2	0	
9057	9057	Maungaraki Shops - Dowse Drive	MaungarakiShops-DowseDr	-41.20855081	174.8786254	4	0	
1522	1522	Te Moana Road at Leybourne Avenue (near 382)	TeMoanaRd at Leybourne (382)	-40.87856261	175.0503614	10	0	
8253	8253	High Street at Watkins Grove	HighSt at Watkins	-41.17589929	174.9623327	5	0	
3416	3416	Beazley Avenue (near 110)	BeazleyAve (110)	-41.21731087	174.8211406	3	0	
3232	3232	Waverton Terrace (near 12)	WavertonTce (12)	-41.20481313	174.8025463	3	0	
1847	1847	Queen Street - The Warehouse	QueenSt	-40.95511162	175.6530839	14	0	
8853	8853	Muritai Road at Hinau Street (near 314)	MuritaiRd at Hinau (314)	-41.2986176	174.8954213	6	0	
4364	4364	Woodhouse Avenue (opposite 24)	WoodhouseAve (opp 24)	-41.28976211	174.7254682	3	0	
3520	3520	Link Road (near 29)	LinkRd (29)	-41.22769428	174.8252466	3	0	
2592	2592	Tweed Road at Ness Grove (near 41)	TweedRd at Ness (41)	-41.11511529	174.8638097	5	0	
8615	8615	Timberlea - Norana Road (near 126)	Timberlea-NoranaRd (126)	-41.10262304	175.1066717	7	0	
3982	3982	Middleton Road (near 18)	MiddletonRd (18)	-41.21976284	174.8084443	3	0	
6768	6768	Karepa Street (near 175)	KarepaSt (175)	-41.30602639	174.7577904	2	0	
6153	6153	Owhiro Bay - Happy Valley Road (near 4)	OwhiroBay-HappyVlyRd (4)	-41.34410014	174.7595314	3	0	
7021	7021	Constable Street at Owen Street (near 84)	ConstableSt at Owen (84)	-41.31299751	174.7847375	2	0	
9959	9959	Wainuiomata High School - Parkway (opposite)	WainuiomataHighSch-Pkway (opp)	-41.25153206	174.9373833	5	0	
